"Id do Aeródromo","CIAD","Código OACI","Id to Tipo de Uso","Tipo de Uso","Nome","Município","UF","País","Município Servido","UF Servido","Latitude","Longitude","Altitude","Operação Diurna","Operação Noturna","Id da Pista 1","Designação (Pista 1)","Comprimento (Pista 1)","Largura (Pista 1)","Resistência (Pista 1)","Superfície (Pista 1)","Aeronave Crítica (Pista 1)","Tipo Operação por Cabeceira (Pista 1)","Luzes de Eixo de Pista (Pista 1)","Luzes de Borda de Pista (Pista 1)","Id da Pista 2","Designação (Pista 2)","Comprimento (Pista 2)","Largura (Pista 2)","Resistência (Pista 2)","Superfície (Pista 2)","Aeronave Crítica (Pista 2)","Tipo Operação por Cabeceira (Pista 2)","Luzes de Eixo de Pista (Pista 2)","Luzes de Borda de Pista (Pista 2)","Tipo de Cadastro","Situação","Classe RBAC 153","Perfil Operacional RBAC 153","Classe RBAC 107","Tipo de Operação Internacional (nomenclatura OACI)","Tipo de Operação Internacional (conforme AIP BRASIL)","Certificação Operacional","Portaria de Certificação","Validade do Cadastro","Portaria de Cadastro","Restrição","Referência Cautelar","Amazônia Legal"
14249,"MS0657","",1,"Privado","FAZENDA PALMEIRA","MARACAJU","MS","Brasil","","","21°50'37,0""S","055°29'40,0""W"," m","VFR","Sem Operação",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","06/04/2033","https://pergamum.anac.gov.br/arquivos/PA2023-10.731.pdf"," ","","não"
9262,"RS0186","",1,"Privado","Fazenda São Jorge","TUPANCIRETÃ","RS","Brasil","","","28°52'22,0""S","053°54'51,0""W","415 m","VFR","Sem Operação",18101,"04/22","700 m","20 m","5000 Kg /   0,50 MPa","Grama","","04 - ; 22 - ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","20/04/2032","https://pergamum.anac.gov.br/arquivos/PA2022-7738.pdf"," ","","não"
19022,"SP1458","",1,"Privado","Fazenda Painerias","ARANDU","SP","Brasil","","","23°08'37,0""S","049°01'46,0""W","681 m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","27/06/2033","https://pergamum.anac.gov.br/arquivos/PA2023-11.677.pdf"," ","","não"
12143,"MT0784","",1,"Privado","Fazenda Três Rodas da Barra","SÃO FÉLIX DO ARAGUAIA","MT","Brasil","","","11°23'03,0""S","052°29'59,0""W","324 m","VFR","Sem Operação",16601,"10/28","1000 m","18 m","5700 Kg /   0,50 MPa","Cascalho","","10 - Visual; 28 - Visual",0,0,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","09/03/2032","https://pergamum.anac.gov.br/arquivos/PA2022 - 7328.pdf"," ","","sim"
14943,"MA0148","",1,"Privado","FAZENDA VONTOBEL - VONTOBEL AGRÍCOLA","BREJO","MA","Brasil","","","03°39'14,0""S","042°48'00,0""W","108 m","VFR","Sem Operação",23422,"12/30","1000 m","18 m","5700 Kg /   0,50 MPa","Piçarra","","12 - Visual; 30 - Visual",0,0,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","13/02/2033","https://pergamum.anac.gov.br/arquivos/PA2023-10.418.pdf"," ","","não"
16586,"RS0203","",1,"Privado","TEUTOFLY","TEUTÔNIA","RS","Brasil","","","29°28'56,0""S","051°50'54,0""W"," m","VFR","Sem Operação",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","23/01/2033","https://pergamum.anac.gov.br/arquivos/PA2023-10247.pdf"," ","","não"
16964,"RJ0385","",1,"Privado","Marina Cacolaco","ANGRA DOS REIS","RJ","Brasil","","","22°58'00,0""S","044°26'20,0""W"," m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Autorizado",,"","","","","não","","",""," ","","não"
15682,"GO0347","",1,"Privado","FAZENDA SANTA RITA DE CÁSSIA","MINEIROS","GO","Brasil","","","17°45'32,0""S","053°02'24,0""W","800 m","VFR","Sem Operação",20201,"05/23","750 m","18 m","5700 Kg /   0,50 MPa","Cascalho","","05 - ; 23 - ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","22/08/2032","https://pergamum.anac.gov.br/arquivos/PA2022-8721.pdf"," ","","não"
4308,"SP0790","SSXL",1,"Privado","Chendel","ATIBAIA","SP","Brasil","","","23°09'55,0""S","046°34'30,0""W","743 m","","",,""," m"," m","","","","; ",,,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","28/12/2025","https://pergamum.anac.gov.br/arquivos/PA2015-3440.pdf"," ","","não"
4524,"MS0244","SSAG",1,"Privado","Fazenda  Lobo","ÁGUA CLARA","MS","Brasil","","","19°43'00,0""S","052°43'32,0""W","430 m","VFR","Sem Operação",4718,"10/28","900 m","20 m","5000 Kg /   0,50 MPa","Terra","","10 - ; 28 - ",0,0,,"","","","","","","",,,"Aeródromo em Terras Brasileiras","Cadastrado",,"","","","","não","","31/07/2024","https://pergamum.anac.gov.br/arquivos/PA2014-2704.pdf"," ","","não"
